YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1880    7.4    6.8    7.5   15.1   23.5   25.6   27.0   26.0   22.1   14.8    6.6    0.2     7.5    15.4    26.2    14.5   15.89
1881   -0.5    2.3    6.5   12.2   21.5   23.6   27.3   26.9   27.2   19.3   10.7    7.3     0.7    13.4    25.9    19.1   14.77
1882    2.6    6.6    8.7   12.5   17.2   25.3   26.6   25.5   22.8   18.2    8.1    3.1     5.5    12.8    25.8    16.4   15.12
1883    0.6    5.0    5.1   12.6   19.6   25.6   27.0   24.5   20.6   16.0   10.5    4.6     2.9    12.4    25.7    15.7   14.18
1884    0.5    6.8    7.7   12.6   20.1   24.6   25.6   25.6   24.2   17.5    9.1    4.1     4.0    13.5    25.3    16.9   14.91
1885    2.4   -0.9    3.4   13.8   18.9   23.8   27.6   25.2   21.1   14.7    9.5    5.0     1.9    12.0    25.5    15.1   13.63
1886    0.2    2.0    7.6   15.1   18.8   23.1   25.4   25.0   22.9   16.3    9.9    1.2     2.4    13.8    24.5    16.4   14.28
1887    2.4    5.7    5.6   13.0   22.0   24.3   29.1   25.1   20.5   15.1    9.2    4.8     3.1    13.5    26.2    14.9   14.43
1888    0.3    3.7    4.7   13.6   18.8   24.5   24.7   26.0   19.9   13.2   10.5    4.8     2.9    12.4    25.1    14.5   13.73
1889    5.8    1.3    8.1   14.4   19.9   23.3   26.0   24.1   20.3   13.1    9.8    9.3     4.0    14.1    24.5    14.4   14.24
1890    8.4    8.1    7.0   14.0   19.5   25.5   25.5   24.8   21.6   15.3   10.8    3.0     8.6    13.5    25.3    15.9   15.82
1891    4.8    7.0    5.4   15.0   18.1   23.7   23.8   25.3   23.0   14.2    8.6    8.0     4.9    12.8    24.3    15.3   14.33
1892    1.6    4.6    4.9   12.7   19.5   26.3   26.0   26.2   20.6   14.7    8.4    2.5     4.7    12.4    26.2    14.6   14.46
1893   -2.3    3.5    6.8   14.1   18.2   24.2   26.6   25.3   20.6   15.3    8.3    5.3     1.2    13.0    25.4    14.7   13.59
1894    5.1    3.6   10.9   13.7   20.6   24.8   27.1   25.0   23.6   16.1    8.6    4.8     4.7    15.1    25.6    16.1   15.37
1895    1.6   -1.4    7.2   14.1   18.8   25.4   24.3   26.8   24.1   12.9    9.9    5.6     1.7    13.4    25.5    15.6   14.04
1896    2.6    4.4    5.3   15.6   22.2   23.6   26.5   26.0   21.6   14.0   12.2    3.8     4.2    14.4    25.4    15.9   14.97
1897    1.3    4.3    9.5   13.6   18.7   22.6   26.6   24.7   21.8   16.2    9.7    5.1     3.1    13.9    24.6    15.9   14.40
1898    4.3    3.4   11.0   12.4   19.7   24.7   27.5   26.5   23.2   16.0    8.5    3.7     4.3    14.4    26.2    15.9   15.19
1899    2.5   -0.9    7.3   14.1   19.7   25.1   26.3   25.4   20.4   16.4    9.2    4.0     1.8    13.7    25.6    15.3   14.10
1900    3.5    2.6    5.4   14.2   19.7   24.0   27.5   28.0   24.7   18.1   11.4    4.2     3.4    13.1    26.5    18.1   15.26
1901    3.1    0.5    8.9   12.2   18.6   24.1   28.1   26.0   21.2   14.7    6.6    3.2     2.6    13.2    26.1    14.2   14.02
1902    1.6    0.5    9.8   13.5   20.2   23.7   26.5   24.1   20.9   15.9   12.5    3.0     1.8    14.5    24.8    16.4   14.37
1903    2.5    4.7   11.6   14.1   19.7   21.1   26.0   23.7   21.1   15.4    7.1    1.8     3.4    15.1    23.6    14.5   14.17
1904   -0.8   -0.3    7.3   11.7   20.0   23.3   25.1   24.0   21.2   13.9    8.0    1.0     0.2    13.0    24.1    14.4   12.93
1905    0.4   -1.5    8.8   14.0   20.0   23.6   26.1   24.6   21.6   15.4    8.6    4.6    -0.0    14.3    24.8    15.2   13.55
1906    6.1    2.7    4.6   14.8   19.6   24.2   25.4   26.1   23.9   15.1   10.2    4.1     4.5    13.0    25.2    16.4   14.78
1907    4.2    0.3   10.6   10.6   16.4   20.1   25.5   23.6   22.0   12.3    8.3    4.7     2.9    12.5    23.1    14.2   13.17
1908    2.6    0.6    9.8   15.0   19.8   23.3   26.7   24.1   20.4   15.8    9.2    4.1     2.6    14.9    24.7    15.1   14.33
1909    3.6    7.4    6.8   13.8   19.3   24.2   24.8   24.0   20.3   13.0   11.8    1.2     5.0    13.3    24.3    15.0   14.43
1910    2.3    2.7   11.9   15.8   17.6   22.2   26.5   24.4   22.8   16.9    6.6    0.5     2.1    15.1    24.4    15.4   14.24
1911    4.8    4.1    6.2   12.1   22.4   24.0   27.1   26.0   22.5   15.2    7.4    6.2     3.1    13.6    25.7    15.0   14.36
1912   -2.6    0.6    6.1   14.5   19.6   22.5   25.4   24.1   22.4   16.3    9.6    5.6     1.4    13.4    24.0    16.1   13.73
1913    7.7    3.7   10.6   14.4   19.2   23.8   26.4   24.5   20.7   16.0   10.1    5.9     5.7    14.7    24.9    15.6   15.23
1914    4.9    0.1    5.2   13.3   20.6   24.4   25.4   25.7   20.0   16.8    8.7    1.6     3.6    13.0    25.2    15.2   14.25
1915    3.2    5.0    4.9   16.6   18.1   22.6   25.5   24.4   22.7   15.9    9.2    3.0     3.3    13.2    24.2    15.9   14.14
1916    5.6    2.4    4.4   18.8   20.5   22.1   26.5   25.1   20.3   14.8    9.2    3.1     3.7    14.6    24.6    14.8   14.39
1917    2.9    1.6    7.5   13.7   16.5   23.7   25.8   25.5   18.7   12.2    7.3   -1.1     2.5    12.6    25.0    12.7   13.21
1918   -3.4    3.9   10.2   13.1   22.1   22.7   24.6   26.4   19.0   17.0    9.2    6.4    -0.2    15.1    24.6    15.1   13.64
1919    4.5    4.0    9.0   13.4   19.2   24.3   26.0   24.1   21.8   18.4    9.4    1.4     5.0    13.9    24.8    16.5   15.04
1920   -0.7    1.5    8.5   12.7   16.6   23.0   24.8   24.8   21.4   17.3    8.9    5.1     0.7    12.6    24.2    15.9   13.35
1921    3.7    5.0   14.1   16.4   17.9   24.5   27.2   23.6   24.5   14.9    9.8    4.4     4.6    16.1    25.1    16.4   15.56
1922    1.1    4.8    8.5   14.4   20.4   24.6   25.7   23.8   22.0   16.3   10.0    4.2     3.4    14.4    24.7    16.1   14.67
1923    3.8    1.4    8.5   13.3   18.5   25.3   25.2   24.5   21.9   14.4    8.5    8.3     3.1    13.4    25.0    14.9   14.13
1924    2.8    2.3    6.9   12.3   16.6   22.9   24.8   24.8   18.9   15.1    9.0    3.5     4.5    11.9    24.2    14.3   13.73
1925    1.6    7.2    9.0   15.1   17.0   26.3   25.8   23.8   23.6   12.1    8.0    3.8     4.1    13.7    25.3    14.6   14.42
1926    2.0    3.5    5.4   12.2   18.9   21.5   25.7   25.5   21.4   14.9    8.4    2.0     3.1    12.2    24.2    14.9   13.60
1927    2.2    6.6    9.6   12.2   18.8   21.3   25.5   22.0   22.0   16.7   11.7    4.9     3.6    13.5    22.9    16.8   14.22
1928    3.2    4.1    7.7   12.2   18.3   22.6   26.4   25.9   19.2   16.4   10.8    5.0     4.1    12.7    25.0    15.5   14.31
1929    2.7    2.7   11.0   15.4   19.0   23.4   25.8   24.4   22.1   14.0    9.8    4.5     3.5    15.1    24.5    15.3   14.61
1930    3.0    6.5    8.2   12.9   20.6   24.9   27.7   25.8   25.3   14.4    9.3    3.0     4.7    13.9    26.1    16.3   15.26
1931    3.8    5.1    6.1   13.5   19.4   23.9   27.3   25.1   24.3   17.2   13.3    7.7     4.0    13.0    25.4    18.3   15.17
1932    9.2    6.9    5.3   12.5   18.8   23.7   25.9   26.2   22.1   15.3    8.1    5.1     7.9    12.2    25.3    15.2   15.14
1933    6.8    4.4    6.9   14.2   20.4   24.6   25.2   25.2   22.9   14.4    8.2    4.6     5.4    13.8    25.0    15.2   14.86
1934    4.8   -3.2    5.9   13.2   20.1   25.9   27.8   24.2   22.2   14.3   10.8    3.8     2.1    13.1    26.0    15.8   14.22
1935    1.7    2.8   10.9   12.1   17.4   23.8   27.1   25.7   20.2   15.4   11.1    0.9     2.8    13.5    25.5    15.6   14.33
1936    0.2   -0.4   11.0   12.3   20.6   23.5   26.5   26.3   22.7   16.2    8.2    5.2     0.2    14.6    25.4    15.7   14.00
1937    7.5    3.4    6.4   12.9   19.7   24.8   25.8   26.2   19.6   13.8    9.1    3.7     5.4    13.0    25.6    14.2   14.53
1938    3.0    5.8   10.7   15.0   18.3   23.5   26.5   26.7   20.4   15.7   10.7    4.1     4.2    14.7    25.6    15.6   15.00
1939    3.9    6.3    8.5   12.6   20.6   24.6   25.0   26.5   22.1   15.2    8.5    5.1     4.8    13.9    25.4    15.3   14.83
1940   -3.3    3.4    5.4   11.2   18.6   24.3   25.7   23.5   19.8   13.7    9.7    6.6     1.7    11.7    24.5    14.4   13.09
1941    2.2    1.6    4.9   16.6   19.9   23.4   25.6   25.0   23.1   18.5   10.9    6.1     3.5    13.8    24.7    17.5   14.86
1942    2.2    1.8    9.1   15.8   21.2   24.1   26.4   24.4   21.8   16.3    9.8    2.1     3.4    15.4    25.0    16.0   14.92
1943    3.0    4.4    8.0   11.4   20.1   26.8   26.3   26.6   20.3   14.1    8.8    3.0     3.2    13.2    26.6    14.4   14.33
1944    3.6    4.0    6.6   12.9   22.6   24.3   26.6   25.0   21.9   14.1    9.3    1.9     3.5    14.0    25.3    15.1   14.49
1945    0.0    4.1   14.0   16.0   17.7   24.1   25.3   24.6   23.3   14.6   10.1    1.0     2.0    15.9    24.7    16.0   14.64
1946    3.3    4.6   12.4   14.0   19.1   23.0   25.4   23.3   22.2   17.1   12.0    5.8     3.0    15.2    23.9    17.1   14.78
1947    6.2    0.3    5.0   14.8   19.0   23.0   24.9   26.8   21.7   18.8    8.6    3.2     4.1    12.9    24.9    16.4   14.58
1948   -1.0    3.5    9.8   14.4   19.0   24.1   26.1   24.8   21.3   13.9   11.8    5.3     1.9    14.4    25.0    15.7   14.24
1949    6.9    7.5    8.9   13.7   19.6   24.8   27.8   26.0   19.9   18.2    9.7    6.0     6.6    14.1    26.2    15.9   15.69
1950    9.7    4.2    5.9   12.2   18.8   23.7   25.0   24.8   19.8   16.5    9.5    2.5     6.6    12.3    24.5    15.3   14.68
1951    4.9    4.4    8.1   14.0   19.0   23.7   26.8   25.6   22.0   17.1    7.0    5.4     3.9    13.7    25.4    15.4   14.59
1952    5.4    5.8    7.0   14.6   18.7   25.7   27.8   25.4   21.4   13.8    9.9    4.7     5.5    13.4    26.3    15.0   15.08
1953    5.7    6.4    9.0   13.8   21.8   24.6   27.6   25.7   21.9   16.8    9.7    5.8     5.6    14.9    26.0    16.1   15.64
1954    2.8    7.2    7.6   16.2   17.8   24.4   26.7   24.7   23.6   17.1    8.2    3.7     5.3    13.9    25.3    16.3   15.18
1955    2.4    3.8    9.3   15.3   20.5   22.0   28.8   26.7   21.8   16.2    8.1    1.7     3.3    15.0    25.8    15.4   14.88
1956    2.1    5.7    7.0   13.0   18.3   24.0   25.4   24.9   20.3   16.3    9.1    8.1     3.2    12.8    24.8    15.2   13.98
1957    1.1    5.8    8.2   15.7   20.1   25.3   26.5   24.7   22.7   13.3   10.2    5.8     5.0    14.7    25.5    15.4   15.14
1958    1.7    0.0    5.7   14.4   18.9   22.3   26.7   24.6   21.2   15.5   10.4    1.1     2.5    13.0    24.5    15.7   13.93
1959    2.1    4.3    7.8   15.0   21.1   24.3   26.2   26.9   23.2   16.9    8.4    6.1     2.5    14.6    25.8    16.2   14.78
1960    3.9    4.1    2.7   16.6   17.9   23.9   25.2   26.4   22.2   15.5   10.2    0.6     4.7    12.4    25.2    16.0   14.56
1961    0.2    4.8    9.3   11.8   17.3   23.3   26.2   25.2   24.1  999.9  999.9  999.9     1.9    12.8    24.9   999.9   13.55
1962  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1963  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1964  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1965  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1966    0.3    2.4    8.7   11.6   18.4   24.5   27.3   26.0   20.4   14.0    9.8    3.2     1.7    12.9    25.9    14.7   13.83
1967    5.1    1.2    7.3   14.3   15.7   23.8   25.2   24.7   20.1   14.5    7.3    4.5     3.2    12.4    24.6    14.0   13.53
1968   -0.2    1.4    9.9   14.5   17.7   23.5   26.7   26.3   22.3   16.4   10.1    2.7     1.9    14.0    25.5    16.3   14.43
1969    1.3    2.8    6.2   14.9   20.3   25.2   26.5   24.7   21.3   15.0    8.5    2.5     2.3    13.8    25.5    14.9   14.12
1970   -1.0    2.9    5.6   13.0   20.3   24.1   26.3   26.2   24.0   17.0    9.7    4.4     1.5    13.0    25.5    16.9   14.22
1971   -0.3    4.0    6.3   12.9   17.7   24.5   25.8   24.9   22.9   18.3    9.1    7.6     2.7    12.3    25.1    16.8   14.21
1972    3.7    2.6    7.7   12.4   18.2   21.3   25.4   24.5   21.8   13.4    8.3    6.5     4.6    12.8    23.7    14.5   13.91
1973    3.2    2.9   10.7   13.4   17.2   25.2   26.3   26.7   23.2   17.1   10.6    5.2     4.2    13.8    26.1    17.0   15.25
1974    5.8    3.7    9.3   14.3   18.1   21.6   25.8   25.5   20.9   13.8   10.2    5.9     4.9    13.9    24.3    15.0   14.52
1975    4.6    4.5    7.0   11.7   20.6   24.4   26.0   26.4   20.0   17.0   12.1    4.4     5.0    13.1    25.6    16.4   15.02
1976    0.8    8.0   10.4   15.2   18.0   25.0   25.5   24.5   21.0   12.7    5.8    1.6     4.4    14.5    25.0    13.2   14.28
1977   -4.0    3.5   11.2   15.3   20.5   23.2   26.9   25.7   23.0   14.7   10.7    3.1     0.4    15.7    25.3    16.1   14.36
1978    0.0  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9     1.6   999.9   999.9   999.9  999.90
1979  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   11.4    5.5   999.9   999.9   999.9   999.9  999.90
1980    1.9    1.3    6.9   14.6   19.8   22.8   26.9  999.9  999.9  999.9  999.9  999.9     2.9    13.8    24.9   999.9   14.22
1981  999.9  999.9  999.9  999.9   18.0   24.9   25.8   24.0   20.7   13.6    9.8    2.6   999.9   999.9    24.9    14.7  999.90
1982   -2.3    3.4    7.5   12.1   20.5   22.6   26.7   24.0   21.3   15.6   10.9    7.5     1.2    13.4    24.4    15.9   13.74
1983    3.4    3.7    9.3   11.8   18.3   23.9   27.3   27.2   22.6   15.8   10.2    2.2     4.9    13.1    26.1    16.2   15.08
1984    0.1    6.6    5.4   12.7   18.7   25.3   25.1   25.8   20.6   18.8    8.2    8.0     3.0    12.3    25.4    15.9   14.13
1985   -0.3    3.6    9.1   16.8   20.5   22.8   26.5   25.2   22.6   16.6   12.8    2.8     3.8    15.5    24.8    17.3   15.35
1986    2.3    2.2    9.0   13.8   20.5   25.2   27.7   24.1   22.0   16.6    8.5    4.7     2.4    14.4    25.7    15.7   14.56
1987    1.9    3.2    9.1   13.1   20.0   25.1   28.5   26.3   22.7   12.8   10.3    5.7     3.3    14.1    26.6    15.3   14.81
1988   -0.2    3.3    8.8   12.8   19.2   24.0   28.1   27.5   20.9   12.8   10.3    4.1     2.9    13.6    26.5    14.7   14.43
1989    4.8    3.6    8.2   13.4   18.2   25.3   26.1   25.5   22.3   16.2    9.3   -1.9     4.2    13.3    25.6    15.9   14.75
1990    6.8    7.7   10.5   14.2   18.3   24.3   26.7   25.1   21.3   17.5   11.5    7.3     4.2    14.3    25.4    16.8   15.17
1991    4.1    6.5    9.7   15.0   23.2   25.3   27.8   27.1   22.1   16.2    9.7    6.1     6.0    16.0    26.7    16.0   16.17
1992    3.8    5.5    7.6   13.4   17.2   22.5   26.8   23.7   21.1   13.7    9.7    4.6     5.1    12.7    24.3    14.8   14.26
1993    4.7    1.7    6.1   13.1   20.1   24.5   28.8   26.8   22.1   14.9    9.7    3.8     3.7    13.1    26.7    15.6   14.76
1994   -1.4    2.8    7.8   17.1   17.7   26.7   28.1   24.6   21.6   15.5   12.3    7.2     1.7    14.2    26.5    16.5   14.72
1995    4.6    1.7   10.0   13.9   19.2   24.1   27.9   27.8   22.1   17.2    6.6    2.4     4.5    14.4    26.6    15.3   15.19
1996    0.9    3.3    6.5   14.2   18.1   25.5   25.7   25.1   21.8   15.6    7.1    6.5     2.2    12.9    25.4    14.8   13.85
1997    3.2    7.5    9.7   12.6   17.6   23.2   27.3   25.7   21.8   15.7    8.3    5.4     5.7    13.3    25.4    15.3   14.93
1998    6.5    6.7    8.7   14.5   20.1   23.2   26.5   26.7   24.5   16.0   10.6    7.3     6.2    14.4    25.5    17.0   15.78
1999    3.8    5.4    7.3   14.0   20.0   24.1   28.7   26.9   21.5   14.4   12.1    6.0     5.5    13.8    26.6    16.0   15.46
2000    2.6    6.2   11.3   13.5   20.3   24.1  999.9   24.3   20.2   16.1    8.6    0.3     4.9    15.0    24.8    15.0   14.93
2001    2.3    5.3    7.0   14.5   19.2   24.4  999.9   26.4   20.9   15.7   13.0    7.8     2.6    13.6    26.0    16.5   14.68
2002    5.7    6.3    9.0   15.9   18.8   24.9   27.5   27.6   23.1   15.1    8.8    3.2     6.6    14.6    26.7    15.7   15.88
2003   -0.1    1.3    8.7   13.1   16.8   22.2   25.8   26.4   21.7   14.5   12.1    4.3     1.5    12.9    24.8    16.1   13.81
2004   -0.5    3.8    9.7   14.4   22.5   23.4   26.2   24.7   22.4   15.0   10.9    4.8     2.5    15.5    24.8    16.1   14.73
2005    2.6    4.6    6.5   14.4   16.9   24.6   27.4   27.1   24.2   16.2   10.4    2.9     4.0    12.6    26.4    16.9   14.98
2006    6.6    4.1    9.3   15.7   18.8   24.1   27.4  999.9   20.3   14.5   10.8    7.2     4.5    14.6    25.8    15.2   15.03
2007    5.3   -0.1    9.2   12.4   20.4   24.9   26.7   27.0   23.2  999.9  999.9  999.9     4.1    14.0    26.2   999.9   15.14
2008  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
2009  999.9  999.9  999.9  999.9  999.9  999.9   25.4   27.0   21.7   15.2   11.8    4.0   999.9   999.9    25.6    16.2  999.90
2010    3.2    1.7   11.2   16.5   21.2   27.5   28.9   27.2   24.7   16.9   10.7    1.3     3.0    16.3    27.9    17.4   16.14
2011    1.5    5.9    8.1   15.4   20.7   26.5   29.7   27.1   22.3   15.1   11.9    7.8     2.9    14.7    27.8    16.4   15.46
2012    5.4    7.4   13.5   14.3   21.6   24.3   28.6   26.9   22.0   15.8    7.8    7.1     6.9    16.5    26.6    15.2   16.28
2013    4.3    3.2    6.3   14.6   19.0   24.4   27.1   24.7   21.5   16.6    7.8    5.4     4.9    13.3    25.4    15.3   14.72
2014   -0.1    3.0    5.8   13.8   20.0   24.8   26.0   25.1   23.0   16.9    8.6    6.2     2.8    13.2    25.3    16.2   14.36
2015    1.7   -1.2    7.1   14.9   22.6   25.3   27.2   26.0   23.8   14.9   12.0   10.7     2.2    14.9    26.2    16.9   15.04
2016    1.7    4.4   12.0   13.8   17.7   24.6   28.2  999.9   24.4   17.3   11.4    5.5     5.6    14.5    26.5    17.7   16.06
2017    5.7    8.7    8.5   17.7   18.6  999.9   27.6   25.2   22.5   18.3  999.9  999.9     6.6    14.9    25.8   999.9  999.90

