YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1880,-2.0,-0.1,1.8,7.0,10.0,14.2,16.9,17.4,14.1,5.2,2.9,0.8
1881,-5.2,-3.4,-1.2,3.6,10.7,15.0,16.7,14.4,11.8,5.2,4.5,1.7
1882,1.4,1.7,5.3,7.4,11.2,15.4,18.6,17.3,15.2,8.7,2.0,-1.0
1883,-1.0,0.8,-2.1,5.6,11.8,16.2,17.6,15.7,13.4,8.1,4.6,0.7
1884,2.3,2.2,3.0,5.1,11.3,14.9,18.3,17.3,15.4,8.4,0.4,1.0
1885,-1.0,1.0,2.1,7.5,9.2,15.2,17.9,14.6,11.3,5.7,1.8,0.2
1886,-1.2,-2.6,-1.3,6.7,11.3,14.0,16.4,17.1,13.5,8.6,4.9,0.1
1887,-1.0,-0.2,1.1,5.8,9.8,15.0,17.5,15.3,12.2,6.3,3.0,-0.3
1888,-0.9,-2.3,-3.5,3.2,10.3,14.3,15.3,15.0,12.4,6.3,3.9,2.7
1889,-0.7,-3.6,-0.4,5.7,14.5,19.0,16.4,15.2,10.8,8.5,4.4,0.3
1890,1.7,-0.3,3.0,6.0,12.9,14.0,14.6,15.3,12.9,7.0,3.5,-2.9
1891,-4.2,-0.2,0.9,5.0,10.6,14.3,17.1,14.7,13.6,9.8,2.6,2.3
1892,-1.3,-0.5,0.7,5.8,10.9,13.8,15.0,16.1,12.8,7.3,3.8,-1.7
1893,-7.2,-3.2,2.4,6.6,10.7,15.2,17.8,16.6,11.5,8.8,2.1,2.3
1894,-0.7,1.2,3.9,7.5,10.7,14.9,18.0,15.1,10.1,6.0,5.5,1.8
1895,-2.6,-7.4,-0.1,6.9,12.5,15.0,15.9,16.2,13.7,7.0,4.4,0.1
1896,0.3,1.5,3.6,6.4,11.9,18.8,18.8,15.7,13.0,8.8,2.3,0.2
1897,-2.4,-0.9,2.4,6.9,11.7,16.8,16.6,18.3,12.5,7.3,4.3,2.6
1898,3.4,1.0,1.8,5.2,10.3,15.1,14.9,16.8,13.7,8.2,5.5,4.0
1899,1.5,1.7,1.6,6.5,11.9,15.2,19.6,17.1,13.0,8.1,7.0,-0.9
1900,-0.8,-1.3,0.6,5.9,10.0,16.1,18.3,17.4,13.4,8.3,5.1,3.5
1901,-1.6,-4.0,0.9,6.6,12.4,14.7,20.5,17.9,14.5,10.4,3.4,0.8
1902,2.7,-2.4,2.0,5.0,9.0,14.8,15.0,13.3,11.2,7.3,2.3,-0.6
1903,0.0,2.6,5.0,4.6,12.5,15.6,16.7,14.5,12.9,7.9,3.0,0.7
1904,0.0,-0.5,1.8,6.8,10.3,14.8,17.1,16.3,13.0,7.8,4.1,2.6
1905,-0.1,0.8,3.2,4.3,12.0,17.4,18.1,16.2,12.9,5.1,3.3,1.8
1906,0.9,0.4,1.9,7.9,13.3,16.7,17.8,16.7,13.7,9.5,7.0,-1.3
1907,-0.2,-0.7,2.6,5.6,10.7,14.6,16.1,14.5,12.6,11.9,4.7,1.2
1908,-0.1,1.7,1.5,5.2,11.1,15.9,18.8,16.1,13.1,9.5,2.4,0.8
1909,0.1,-2.3,-0.1,5.1,9.0,14.6,15.9,16.3,13.2,11.3,1.3,2.0
1910,1.1,1.9,4.1,7.5,12.8,17.4,17.7,16.9,13.3,9.3,2.9,2.7
1911,1.2,1.4,3.2,7.0,14.0,15.4,17.5,18.4,14.6,8.6,5.2,3.3
1912,-3.0,-1.4,4.1,6.5,11.2,15.4,19.3,15.6,11.0,7.2,3.3,4.3
1913,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1914,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1915,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1916,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1917,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1918,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1919,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1920,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1921,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1922,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1923,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1924,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1925,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1926,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1927,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1928,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1929,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1930,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1931,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1932,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1933,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1934,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1935,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1936,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1937,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1938,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
